"Name","Code","Beschreibung"
"f13a",25,"Zu wenig Unterstützung für KMU / Gewerbe, zuviel für Banken, Grossfirmen"
"f13a","25a","Vernachlässigt wirtschaftliche Aspekte"
"f13a",26,"Recht und Ordnung wird zu wenig durchgesetzt"
"f13a",27,"Zu wenig gegen Wohnungsknappheit"
"f13a","27a","Zu viel gemeinnütziger Wohnungsbau / asozialer Wohnungsbau / günstige Wohnungen für die Falschen"
"f13a",28,"Zu wenig / falsche Richtung im Bereich Verkehr"
"f13a","28a","Zu viel Priorität / Förderung Velo(s) (Veloanarchie)"
"f13a","28b","Zu wenig Priorität / Förderung Velo(s) (zu wenig Velowege)"
"f13a","28c","Zu wenig Priorität fürs Auto"
"f13a",3,"Mangelnde Informationen"
"f13a",30,"kein Interesse (interessiert mich nicht, kenne Personen nicht, hatte nie damit zu tun, bin passiv)"
"f13a",31,"zu wenig für CH-Bevölkerung (zu viel Aufmerksamkeit für AusländerInnen, weil er Ausländer ist, Ausländerinnen haben Überhand etc.)"
"f13a",32,"SVP-Rutsch, zu konservativ"
"f13a",33,"zu wenig für Alte (wir werden ausgesaugt, als Alte nur zum Zahlen gut, Krankenkassen, Trambillette für Senioren gekürzt, Alte werden Sozialfälle, Rentner etc.)"
"f13a",34,"zu wenig für Behinderte (IV-Rentner, keine Hilfe für behinderten Sohn)"
"f13a",35,"langfristige Massnahmen fehlen (Symptom- statt Ursachenbekämpfung, Massnahmen langfristig planen)"
"f13a",36,"Geld falsch eingesetzt (überrissene Projekte, finanzielle Aspekte, Steuern, Sparmassnahmen, Steuerpolitik)"
"f13a",37,"Zu wenig Aufmerksamkeit für Interessen der Langansässigen (Verdrängung der Einheimischen)"
"f13a",38,"Zu wenig für Interessen der Steuerzahlenden"
"f13a",39,"Mittelschicht ist zu wenig vertreten"
"f13a",4,"Machen sowieso, was sie wollen"
"f13a",40,"Zu viele Gesetze / Regeln"
"f13a",41,"Ausländische Personen / Personen mit Migrationshintergrund sind zu wenig vertreten"
"f13a",42,"Zu wenig für Minderheiten"
"f13a",43,"Zu wenig im Zusammenhang mit dem Bevölkerungswachstum / Knappheit"
"f13a",44,"Betreibt Minderheitenpolitik (macht zu viel für sozial Schwächere / Ausländer)"
"f13a",45,"Baupolitik / Raumplanung / Quartierentwicklung"
"f13a","4a","Halten Wahlversprechen nicht ein"
"f13a","4b","Betreiben Parteipolitik (statt Sachpolitik)"
"f13a","4c","Zu wenig für Mittelstand"
"f13a","4d","Entscheiden nicht nach meiner Vorstellung / beachten meine Anliegen nicht"
"f13a",5,"Kein Interesse"
"f13a",6,"Zu wenig für CH-Bevölkerung"
"f13a",7,"SVP-Rutsch, zu konservativ"
"f13a",8,"Zu wenig für Alte"
"f13a",9,"Zu wenig für Behinderte"
"f13a",95,"Anderes"
"f13a",98,"weiss nicht"
"f13a",99,"Keine Angabe"
"f13b",1,"Politische Richtung des Gemeinde- bzw. Stadtrates"
"f13b",10,"Langfristige Massnahmen fehlen"
"f13b",11,"Geld falsch eingesetzt"
"f13b",12,"Zu zögernd"
"f13b",17,"Zu zögernd (schleppend, machen zu wenig, zu wenig mutig)"
"f13b",18,"Zuwenig für Familien, Kinder, Jugendliche"
"f13b","18a","Zu wenig im Bereich Bildungspolitik / Schulwesen"
"f13b",19,"Zuwenig Junge in der Politik"
"f13b","1a","Zu linke Politik"
"f13b","1b","Zu rot-grüne Politik"
"f13b","1c","Setzt falsche Prioritäten"
"f13b","1d","Zu einseitige Politik"
"f13b","1e","Entscheidet nicht nach meiner Vorstellung / beachtet meine Anliegen/Interessen nicht"
"f13b","1f","es sind die falschen Personen dort (Personen, die nicht in der Stadt aufgewachsen sind)"
"f13b",2,"Keine politischen Rechte als Ausländer/in"
"f13b",20,"Bürokratie / zu kompliziert"
"f13b",21,"Zuwenig für die Umwelt, Verkehr"
"f13b","21a","Zu wenig für die Umwelt"
"f13b","21b","Zu wenig / falsche Richtung im Bereich Verkehr"
"f13b","21c","Zu viel Priorität / Förderung Velo(s) (Veloanarchie)"
"f13b","21d","Zu wenig Priorität / Förderung Velo(s) (zu wenig Velowege)"
"f13b",22,"Zu wenig für (Integration der) Ausländer / Sprachproblem"
"f13b",23,"Zu wenig für Arbeitnehmer unternommen, zu wenig vertreten"
"f13b",24,"Zu wenig für Randständige / Sozial benachteiligte, Drogenabhängige, Arbeitslose"
"f13b",25,"Zu wenig Unterstützung für KMU / Gewerbe, zuviel für Banken, Grossfirmen"
"f13b","25a","Vernachlässigt wirtschaftliche Aspekte"
"f13b",26,"Recht und Ordnung wird zu wenig durchgesetzt"
"f13b",27,"Zu wenig gegen Wohnungsknappheit"
"f13b","27a","Zu viel gemeinnütziger Wohnungsbau / asozialer Wohnungsbau / günstige Wohnungen für die Falschen"
"f13b",28,"Zu wenig / falsche Richtung im Bereich Verkehr"
"f13b","28a","Zu viel Priorität / Förderung Velo(s) (Veloanarchie)"
"f13b","28b","Zu wenig Priorität / Förderung Velo(s) (zu wenig Velowege)"
"f13b","28c","Zu wenig Priorität fürs Auto"
"f13b",3,"Mangelnde Informationen"
"f13b",30,"kein Interesse (interessiert mich nicht, kenne Personen nicht, hatte nie damit zu tun, bin passiv)"
"f13b",31,"zu wenig für CH-Bevölkerung (zu viel Aufmerksamkeit für AusländerInnen, weil er Ausländer ist, Ausländerinnen haben Überhand etc.)"
"f13b",32,"SVP-Rutsch, zu konservativ"
"f13b",33,"zu wenig für Alte (wir werden ausgesaugt, als Alte nur zum Zahlen gut, Krankenkassen, Trambillette für Senioren gekürzt, Alte werden Sozialfälle, Rentner etc.)"
"f13b",34,"zu wenig für Behinderte (IV-Rentner, keine Hilfe für behinderten Sohn)"
"f13b",35,"langfristige Massnahmen fehlen (Symptom- statt Ursachenbekämpfung, Massnahmen langfristig planen)"
"f13b",36,"Geld falsch eingesetzt (überrissene Projekte, finanzielle Aspekte, Steuern, Sparmassnahmen, Steuerpolitik)"
"f13b",37,"Zu wenig Aufmerksamkeit für Interessen der Langansässigen (Verdrängung der Einheimischen)"
"f13b",38,"Zu wenig für Interessen der Steuerzahlenden"
"f13b",39,"Mittelschicht ist zu wenig vertreten"
"f13b",4,"Machen sowieso, was sie wollen"
"f13b",40,"Zu viele Gesetze / Regeln"
"f13b",41,"Ausländische Personen / Personen mit Migrationshintergrund sind zu wenig vertreten"
"f13b",42,"Zu wenig für Minderheiten"
"f13b",43,"Zu wenig im Zusammenhang mit dem Bevölkerungswachstum / Knappheit"
"f13b",44,"Betreibt Minderheitenpolitik (macht zu viel für sozial Schwächere / Ausländer)"
"f13b",45,"Baupolitik / Raumplanung / Quartierentwicklung"
"f13b","4a","Halten Wahlversprechen nicht ein"
"f13b","4b","Betreiben Parteipolitik (statt Sachpolitik)"
"f13b","4c","Zu wenig für Mittelstand"
"f13b","4d","Entscheiden nicht nach meiner Vorstellung / beachten meine Anliegen nicht"
"f13b",5,"Kein Interesse"
"f13b",6,"Zu wenig für CH-Bevölkerung"
"f13b",7,"SVP-Rutsch, zu konservativ"
"f13b",8,"Zu wenig für Alte"
"f13b",9,"Zu wenig für Behinderte"
"f13b",95,"Anderes"
"f13b",98,"weiss nicht"
"f13b",99,"Keine Angabe"
"f13c",1,"Politische Richtung des Gemeinde- bzw. Stadtrates"
"f13c",10,"Langfristige Massnahmen fehlen"
"f13c",11,"Geld falsch eingesetzt"
"f13c",12,"Zu zögernd"
"f13c",17,"Zu zögernd (schleppend, machen zu wenig, zu wenig mutig)"
"f13c",18,"Zuwenig für Familien, Kinder, Jugendliche"
"f13c","18a","Zu wenig im Bereich Bildungspolitik / Schulwesen"
"f13c",19,"Zuwenig Junge in der Politik"
"f13c","1a","Zu linke Politik"
"f13c","1b","Zu rot-grüne Politik"
"f13c","1c","Setzt falsche Prioritäten"
"f13c","1d","Zu einseitige Politik"
"f13c","1e","Entscheidet nicht nach meiner Vorstellung / beachtet meine Anliegen/Interessen nicht"
"f13c","1f","es sind die falschen Personen dort (Personen, die nicht in der Stadt aufgewachsen sind)"
"f13c",2,"Keine politischen Rechte als Ausländer/in"
"f13c",20,"Bürokratie / zu kompliziert"
"f13c",21,"Zuwenig für die Umwelt, Verkehr"
"f13c","21a","Zu wenig für die Umwelt"
"f13c","21b","Zu wenig / falsche Richtung im Bereich Verkehr"
"f13c","21c","Zu viel Priorität / Förderung Velo(s) (Veloanarchie)"
"f13c","21d","Zu wenig Priorität / Förderung Velo(s) (zu wenig Velowege)"
"f13c",22,"Zu wenig für (Integration der) Ausländer / Sprachproblem"
"f13c",23,"Zu wenig für Arbeitnehmer unternommen, zu wenig vertreten"
"f13c",24,"Zu wenig für Randständige / Sozial benachteiligte, Drogenabhängige, Arbeitslose"
"f13c",25,"Zu wenig Unterstützung für KMU / Gewerbe, zuviel für Banken, Grossfirmen"
"f13c","25a","Vernachlässigt wirtschaftliche Aspekte"
"f13c",26,"Recht und Ordnung wird zu wenig durchgesetzt"
"f13c",27,"Zu wenig gegen Wohnungsknappheit"
"f13c","27a","Zu viel gemeinnütziger Wohnungsbau / asozialer Wohnungsbau / günstige Wohnungen für die Falschen"
"f13c",28,"Zu wenig / falsche Richtung im Bereich Verkehr"
"f13c","28a","Zu viel Priorität / Förderung Velo(s) (Veloanarchie)"
"f13c","28b","Zu wenig Priorität / Förderung Velo(s) (zu wenig Velowege)"
"f13c","28c","Zu wenig Priorität fürs Auto"
"f13c",3,"Mangelnde Informationen"
"f13c",31,"zu wenig für CH-Bevölkerung (zu viel Aufmerksamkeit für AusländerInnen, weil er Ausländer ist, Ausländerinnen haben Überhand etc.)"
"f13c",32,"SVP-Rutsch, zu konservativ"
"f13c",33,"zu wenig für Alte (wir werden ausgesaugt, als Alte nur zum Zahlen gut, Krankenkassen, Trambillette für Senioren gekürzt, Alte werden Sozialfälle, Rentner etc.)"
"f13c",34,"zu wenig für Behinderte (IV-Rentner, keine Hilfe für behinderten Sohn)"
"f13c",35,"langfristige Massnahmen fehlen (Symptom- statt Ursachenbekämpfung, Massnahmen langfristig planen)"
"f13c",36,"Geld falsch eingesetzt (überrissene Projekte, finanzielle Aspekte, Steuern, Sparmassnahmen, Steuerpolitik)"
"f13c",37,"Zu wenig Aufmerksamkeit für Interessen der Langansässigen (Verdrängung der Einheimischen)"
"f13c",38,"Zu wenig für Interessen der Steuerzahlenden"
"f13c",39,"Mittelschicht ist zu wenig vertreten"
"f13c",4,"Machen sowieso, was sie wollen"
"f13c",40,"Zu viele Gesetze / Regeln"
"f13c",41,"Ausländische Personen / Personen mit Migrationshintergrund sind zu wenig vertreten"
"f13c",42,"Zu wenig für Minderheiten"
"f13c",43,"Zu wenig im Zusammenhang mit dem Bevölkerungswachstum / Knappheit"
"f13c",44,"Betreibt Minderheitenpolitik (macht zu viel für sozial Schwächere / Ausländer)"
"f13c",45,"Baupolitik / Raumplanung / Quartierentwicklung"
"f13c","4a","Halten Wahlversprechen nicht ein"
"f13c","4b","Betreiben Parteipolitik (statt Sachpolitik)"
"f13c","4c","Zu wenig für Mittelstand"
"f13c","4d","Entscheiden nicht nach meiner Vorstellung / beachten meine Anliegen nicht"
"f13c",5,"Kein Interesse"
"f13c",6,"Zu wenig für CH-Bevölkerung"
"f13c",7,"SVP-Rutsch, zu konservativ"
"f13c",8,"Zu wenig für Alte"
"f13c",9,"Zu wenig für Behinderte"
"f13c",95,"Anderes"
"f13c",98,"weiss nicht"
"f13c",99,"Keine Angabe"
"f13d",1,"Politische Richtung des Gemeinde- bzw. Stadtrates"
"f13d",10,"Langfristige Massnahmen fehlen"
"f13d",11,"Geld falsch eingesetzt"
"f13d",12,"Zu zögernd"
"f13d",17,"Zu zögernd (schleppend, machen zu wenig, zu wenig mutig)"
"f13d",18,"Zuwenig für Familien, Kinder, Jugendliche"
"f13d","18a","Zu wenig im Bereich Bildungspolitik / Schulwesen"
"f13d",19,"Zuwenig Junge in der Politik"
"f13d","1a","Zu linke Politik"
"f13d","1b","Zu rot-grüne Politik"
"f13d","1c","Setzt falsche Prioritäten"
"f13d","1d","Zu einseitige Politik"
"f13d","1e","Entscheidet nicht nach meiner Vorstellung / beachtet meine Anliegen/Interessen nicht"
"f13d","1f","es sind die falschen Personen dort (Personen, die nicht in der Stadt aufgewachsen sind)"
"f13d",2,"Keine politischen Rechte als Ausländer/in"
"f13d",20,"Bürokratie / zu kompliziert"
"f13d",21,"Zuwenig für die Umwelt, Verkehr"
"f13d","21a","Zu wenig für die Umwelt"
"f13d","21b","Zu wenig / falsche Richtung im Bereich Verkehr"
"f13d","21c","Zu viel Priorität / Förderung Velo(s) (Veloanarchie)"
"f13d","21d","Zu wenig Priorität / Förderung Velo(s) (zu wenig Velowege)"
"f13d",22,"Zu wenig für (Integration der) Ausländer / Sprachproblem"
"f13d",23,"Zu wenig für Arbeitnehmer unternommen, zu wenig vertreten"
"f13d",24,"Zu wenig für Randständige / Sozial benachteiligte, Drogenabhängige, Arbeitslose"
"f13d",25,"Zu wenig Unterstützung für KMU / Gewerbe, zuviel für Banken, Grossfirmen"
"f13d","25a","Vernachlässigt wirtschaftliche Aspekte"
"f13d",26,"Recht und Ordnung wird zu wenig durchgesetzt"
"f13d",27,"Zu wenig gegen Wohnungsknappheit"
"f13d","27a","Zu viel gemeinnütziger Wohnungsbau / asozialer Wohnungsbau / günstige Wohnungen für die Falschen"
"f13d",28,"Zu wenig / falsche Richtung im Bereich Verkehr"
"f13d","28a","Zu viel Priorität / Förderung Velo(s) (Veloanarchie)"
"f13d","28b","Zu wenig Priorität / Förderung Velo(s) (zu wenig Velowege)"
"f13d","28c","Zu wenig Priorität fürs Auto"
"f13d",3,"Mangelnde Informationen"
"f13d",31,"zu wenig für CH-Bevölkerung (zu viel Aufmerksamkeit für AusländerInnen, weil er Ausländer ist, Ausländerinnen haben Überhand etc.)"
"f13d",32,"SVP-Rutsch, zu konservativ"
"f13d",33,"zu wenig für Alte (wir werden ausgesaugt, als Alte nur zum Zahlen gut, Krankenkassen, Trambillette für Senioren gekürzt, Alte werden Sozialfälle, Rentner etc.)"
"f13d",34,"zu wenig für Behinderte (IV-Rentner, keine Hilfe für behinderten Sohn)"
"f13d",35,"langfristige Massnahmen fehlen (Symptom- statt Ursachenbekämpfung, Massnahmen langfristig planen)"
"f13d",36,"Geld falsch eingesetzt (überrissene Projekte, finanzielle Aspekte, Steuern, Sparmassnahmen, Steuerpolitik)"
"f13d",37,"Zu wenig Aufmerksamkeit für Interessen der Langansässigen (Verdrängung der Einheimischen)"
"f13d",38,"Zu wenig für Interessen der Steuerzahlenden"
"f13d",39,"Mittelschicht ist zu wenig vertreten"
"f13d",4,"Machen sowieso, was sie wollen"
"f13d",40,"Zu viele Gesetze / Regeln"
"f13d",41,"Ausländische Personen / Personen mit Migrationshintergrund sind zu wenig vertreten"
"f13d",42,"Zu wenig für Minderheiten"
"f13d",43,"Zu wenig im Zusammenhang mit dem Bevölkerungswachstum / Knappheit"
"f13d",44,"Betreibt Minderheitenpolitik (macht zu viel für sozial Schwächere / Ausländer)"
"f13d",45,"Baupolitik / Raumplanung / Quartierentwicklung"
"f13d","4a","Halten Wahlversprechen nicht ein"
"f13d","4b","Betreiben Parteipolitik (statt Sachpolitik)"
"f13d","4c","Zu wenig für Mittelstand"
"f13d","4d","Entscheiden nicht nach meiner Vorstellung / beachten meine Anliegen nicht"
"f13d",5,"Kein Interesse"
"f13d",6,"Zu wenig für CH-Bevölkerung"
"f13d",7,"SVP-Rutsch, zu konservativ"
"f13d",8,"Zu wenig für Alte"
"f13d",9,"Zu wenig für Behinderte"
"f13d",95,"Anderes"
"f13d",98,"weiss nicht"
"f13d",99,"Keine Angabe"
"f13e",1,"Politische Richtung des Gemeinde- bzw. Stadtrates"
"f13e",10,"Langfristige Massnahmen fehlen"
"f13e",11,"Geld falsch eingesetzt"
"f13e",12,"Zu zögernd"
"f13e",17,"Zu zögernd (schleppend, machen zu wenig, zu wenig mutig)"
"f13e",18,"Zuwenig für Familien, Kinder, Jugendliche"
"f13e","18a","Zu wenig im Bereich Bildungspolitik / Schulwesen"
"f13e",19,"Zuwenig Junge in der Politik"
"f13e","1a","Zu linke Politik"
"f13e","1b","Zu rot-grüne Politik"
"f13e","1c","Setzt falsche Prioritäten"
"f13e","1d","Zu einseitige Politik"
"f13e","1e","Entscheidet nicht nach meiner Vorstellung / beachtet meine Anliegen/Interessen nicht"
"f13e","1f","es sind die falschen Personen dort (Personen, die nicht in der Stadt aufgewachsen sind)"
"f13e",2,"Keine politischen Rechte als Ausländer/in"
"f13e",20,"Bürokratie / zu kompliziert"
"f13e",21,"Zuwenig für die Umwelt, Verkehr"
"f13e","21a","Zu wenig für die Umwelt"
"f13e","21b","Zu wenig / falsche Richtung im Bereich Verkehr"
"f13e","21c","Zu viel Priorität / Förderung Velo(s) (Veloanarchie)"
"f13e","21d","Zu wenig Priorität / Förderung Velo(s) (zu wenig Velowege)"
"f13e",22,"Zu wenig für (Integration der) Ausländer / Sprachproblem"
"f13e",23,"Zu wenig für Arbeitnehmer unternommen, zu wenig vertreten"
"f13e",24,"Zu wenig für Randständige / Sozial benachteiligte, Drogenabhängige, Arbeitslose"
"f13e",25,"Zu wenig Unterstützung für KMU / Gewerbe, zuviel für Banken, Grossfirmen"
"f13e","25a","Vernachlässigt wirtschaftliche Aspekte"
"f13e",26,"Recht und Ordnung wird zu wenig durchgesetzt"
"f13e",27,"Zu wenig gegen Wohnungsknappheit"
"f13e","27a","Zu viel gemeinnütziger Wohnungsbau / asozialer Wohnungsbau / günstige Wohnungen für die Falschen"
"f13e",28,"Zu wenig / falsche Richtung im Bereich Verkehr"
"f13e","28a","Zu viel Priorität / Förderung Velo(s) (Veloanarchie)"
"f13e","28b","Zu wenig Priorität / Förderung Velo(s) (zu wenig Velowege)"
"f13e","28c","Zu wenig Priorität fürs Auto"
"f13e",3,"Mangelnde Informationen"
"f13e",31,"zu wenig für CH-Bevölkerung (zu viel Aufmerksamkeit für AusländerInnen, weil er Ausländer ist, Ausländerinnen haben Überhand etc.)"
"f13e",32,"SVP-Rutsch, zu konservativ"
"f13e",33,"zu wenig für Alte (wir werden ausgesaugt, als Alte nur zum Zahlen gut, Krankenkassen, Trambillette für Senioren gekürzt, Alte werden Sozialfälle, Rentner etc.)"
"f13e",34,"zu wenig für Behinderte (IV-Rentner, keine Hilfe für behinderten Sohn)"
"f13e",35,"langfristige Massnahmen fehlen (Symptom- statt Ursachenbekämpfung, Massnahmen langfristig planen)"
"f13e",36,"Geld falsch eingesetzt (überrissene Projekte, finanzielle Aspekte, Steuern, Sparmassnahmen, Steuerpolitik)"
"f13e",37,"Zu wenig Aufmerksamkeit für Interessen der Langansässigen (Verdrängung der Einheimischen)"
"f13e",38,"Zu wenig für Interessen der Steuerzahlenden"
"f13e",39,"Mittelschicht ist zu wenig vertreten"
"f13e",4,"Machen sowieso, was sie wollen"
"f13e",40,"Zu viele Gesetze / Regeln"
"f13e",41,"Ausländische Personen / Personen mit Migrationshintergrund sind zu wenig vertreten"
"f13e",42,"Zu wenig für Minderheiten"
"f13e",43,"Zu wenig im Zusammenhang mit dem Bevölkerungswachstum / Knappheit"
"f13e",44,"Betreibt Minderheitenpolitik (macht zu viel für sozial Schwächere / Ausländer)"
"f13e",45,"Baupolitik / Raumplanung / Quartierentwicklung"
"f13e","4a","Halten Wahlversprechen nicht ein"
"f13e","4b","Betreiben Parteipolitik (statt Sachpolitik)"
"f13e","4c","Zu wenig für Mittelstand"
"f13e","4d","Entscheiden nicht nach meiner Vorstellung / beachten meine Anliegen nicht"
"f13e",5,"Kein Interesse"
"f13e",6,"Zu wenig für CH-Bevölkerung"
"f13e",7,"SVP-Rutsch, zu konservativ"
"f13e",8,"Zu wenig für Alte"
"f13e",9,"Zu wenig für Behinderte"
"f13e",95,"Anderes"
"f13e",98,"weiss nicht"
"f13e",99,"Keine Angabe"
"f13f",1,"Politische Richtung des Gemeinde- bzw. Stadtrates"
"f13f",10,"Langfristige Massnahmen fehlen"
"f13f",11,"Geld falsch eingesetzt"
"f13f",12,"Zu zögernd"
"f13f",17,"Zu zögernd (schleppend, machen zu wenig, zu wenig mutig)"
"f13f",18,"Zuwenig für Familien, Kinder, Jugendliche"
"f13f","18a","Zu wenig im Bereich Bildungspolitik / Schulwesen"
"f13f",19,"Zuwenig Junge in der Politik"
"f13f","1a","Zu linke Politik"
"f13f","1b","Zu rot-grüne Politik"
"f13f","1c","Setzt falsche Prioritäten"
"f13f","1d","Zu einseitige Politik"
"f13f","1e","Entscheidet nicht nach meiner Vorstellung / beachtet meine Anliegen/Interessen nicht"
"f13f","1f","es sind die falschen Personen dort (Personen, die nicht in der Stadt aufgewachsen sind)"
"f13f",2,"Keine politischen Rechte als Ausländer/in"
"f13f",20,"Bürokratie / zu kompliziert"
"f13f",21,"Zuwenig für die Umwelt, Verkehr"
"f13f","21a","Zu wenig für die Umwelt"
"f13f","21b","Zu wenig / falsche Richtung im Bereich Verkehr"
"f13f","21c","Zu viel Priorität / Förderung Velo(s) (Veloanarchie)"
"f13f","21d","Zu wenig Priorität / Förderung Velo(s) (zu wenig Velowege)"
"f13f",22,"Zu wenig für (Integration der) Ausländer / Sprachproblem"
"f13f",23,"Zu wenig für Arbeitnehmer unternommen, zu wenig vertreten"
"f13f",24,"Zu wenig für Randständige / Sozial benachteiligte, Drogenabhängige, Arbeitslose"
"f13f",25,"Zu wenig Unterstützung für KMU / Gewerbe, zuviel für Banken, Grossfirmen"
"f13f","25a","Vernachlässigt wirtschaftliche Aspekte"
"f13f",26,"Recht und Ordnung wird zu wenig durchgesetzt"
"f13f",27,"Zu wenig gegen Wohnungsknappheit"
"f13f","27a","Zu viel gemeinnütziger Wohnungsbau / asozialer Wohnungsbau / günstige Wohnungen für die Falschen"
"f13f",28,"Zu wenig / falsche Richtung im Bereich Verkehr"
"f13f","28a","Zu viel Priorität / Förderung Velo(s) (Veloanarchie)"
"f13f","28b","Zu wenig Priorität / Förderung Velo(s) (zu wenig Velowege)"
"f13f","28c","Zu wenig Priorität fürs Auto"
"f13f",3,"Mangelnde Informationen"
"f13f",31,"zu wenig für CH-Bevölkerung (zu viel Aufmerksamkeit für AusländerInnen, weil er Ausländer ist, Ausländerinnen haben Überhand etc.)"
"f13f",32,"SVP-Rutsch, zu konservativ"
"f13f",33,"zu wenig für Alte (wir werden ausgesaugt, als Alte nur zum Zahlen gut, Krankenkassen, Trambillette für Senioren gekürzt, Alte werden Sozialfälle, Rentner etc.)"
"f13f",34,"zu wenig für Behinderte (IV-Rentner, keine Hilfe für behinderten Sohn)"
"f13f",35,"langfristige Massnahmen fehlen (Symptom- statt Ursachenbekämpfung, Massnahmen langfristig planen)"
"f13f",36,"Geld falsch eingesetzt (überrissene Projekte, finanzielle Aspekte, Steuern, Sparmassnahmen, Steuerpolitik)"
"f13f",37,"Zu wenig Aufmerksamkeit für Interessen der Langansässigen (Verdrängung der Einheimischen)"
"f13f",38,"Zu wenig für Interessen der Steuerzahlenden"
"f13f",39,"Mittelschicht ist zu wenig vertreten"
"f13f",4,"Machen sowieso, was sie wollen"
"f13f",40,"Zu viele Gesetze / Regeln"
"f13f",41,"Ausländische Personen / Personen mit Migrationshintergrund sind zu wenig vertreten"
"f13f",42,"Zu wenig für Minderheiten"
"f13f",43,"Zu wenig im Zusammenhang mit dem Bevölkerungswachstum / Knappheit"
"f13f",44,"Betreibt Minderheitenpolitik (macht zu viel für sozial Schwächere / Ausländer)"
"f13f",45,"Baupolitik / Raumplanung / Quartierentwicklung"
"f13f","4a","Halten Wahlversprechen nicht ein"
"f13f","4b","Betreiben Parteipolitik (statt Sachpolitik)"
"f13f","4c","Zu wenig für Mittelstand"
"f13f","4d","Entscheiden nicht nach meiner Vorstellung / beachten meine Anliegen nicht"
"f13f",5,"Kein Interesse"
"f13f",6,"Zu wenig für CH-Bevölkerung"
"f13f",7,"SVP-Rutsch, zu konservativ"
"f13f",8,"Zu wenig für Alte"
"f13f",9,"Zu wenig für Behinderte"
"f13f",95,"Anderes"
"f13f",98,"weiss nicht"
"f13f",99,"Keine Angabe"
"f14a",1,"Sehr unzufrieden"
"f14a",2,"Eher unzufrieden"
"f14a",3,"Eher zufrieden"
"f14a",4,"Sehr zufrieden"
"f14a",88,"Doppelnennungen"
"f14a",98,"Weiss nicht"
"f14a",99,"Keine Angabe"
"f14b",1,"Sehr unzufrieden"
"f14b",2,"Eher unzufrieden"
"f14b",3,"Eher zufrieden"
"f14b",4,"Sehr zufrieden"
"f14b",88,"Doppelnennungen"
"f14b",98,"Weiss nicht"
"f14b",99,"Keine Angabe"
"f14c",1,"Sehr unzufrieden"
"f14c",2,"Eher unzufrieden"
"f14c",3,"Eher zufrieden"
"f14c",4,"Sehr zufrieden"
"f14c",88,"Doppelnennungen"
"f14c",98,"Weiss nicht"
"f14c",99,"Keine Angabe"
"f14d",1,"Sehr unzufrieden"
"f14d",2,"Eher unzufrieden"
"f14d",3,"Eher zufrieden"
"f14d",4,"Sehr zufrieden"
"f14d",88,"Doppelnennungen"
"f14d",98,"Weiss nicht"
"f14d",99,"Keine Angabe"
"f14e",1,"Sehr unzufrieden"
"f14e",2,"Eher unzufrieden"
"f14e",3,"Eher zufrieden"
"f14e",4,"Sehr zufrieden"
"f14e",88,"Doppelnennungen"
"f14e",98,"Weiss nicht"
"f14e",99,"Keine Angabe"
"f15",1,"Eigentumswohnung / im eigenen Haus"
